City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mataura,NZ,-46.1927,168.8643,30.04,97,4,2.39,clear sky
80,Saryg-Sep,RU,51.5,95.6,34.09,88,100,1.63,light rain
81,Grajau,BR,-5.8194,-46.1386,97.81,26,100,5.44,overcast clouds
82,Namatanai,PG,-3.6667,152.4333,79.25,80,95,3.74,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,82,9.24,broken clouds
84,Torbay,CA,47.6666,-52.7314,63.37,62,90,13.8,overcast clouds
85,Yelizovo,RU,53.1873,158.3805,35.74,100,0,6.71,clear sky
86,Evensk,RU,61.95,159.2333,36.32,79,71,10.0,broken clouds
87,Mujiayingzi,CN,42.1167,118.7833,58.28,88,100,5.82,overcast clouds
88,Ginir,ET,7.1333,40.7,62.11,71,100,4.68,light rain
89,Hilo,US,19.7297,-155.09,78.8,91,90,6.91,light rain
90,Chara,RU,56.9064,118.2631,42.28,97,100,1.57,light rain
91,Chiradzulu,MW,-15.6746,35.1407,73.58,31,72,3.76,broken clouds
92,Awbari,LY,26.5921,12.7805,80.33,22,0,6.06,clear sky
93,Mount Gambier,AU,-37.8333,140.7667,41.79,81,81,6.55,broken clouds
94,Boma,GH,7.0805,-2.1697,73.71,90,100,1.86,light rain
95,Chuy,UY,-33.6971,-53.4616,67.62,67,0,5.53,clear sky
96,Saint-Pierre,RE,-21.3393,55.4781,71.28,79,40,6.91,light rain
97,Baoro,CF,5.6667,15.9667,68.02,94,60,0.92,light rain
98,Marsabit,KE,2.3284,37.9899,73.02,41,0,13.98,clear sky
99,Oktyabrskiy,RU,54.4815,53.471,53.35,70,100,8.21,overcast clouds
100,Novyy Urgal,RU,51.0736,132.5642,44.26,91,97,1.57,overcast clouds
101,Shache,CN,38.4167,77.2406,68.45,20,0,6.31,clear sky
102,Altay,CN,47.8667,88.1167,42.94,31,96,1.68,overcast clouds
103,Port Blair,IN,11.6667,92.75,79.32,87,97,13.33,light rain
104,Carutapera,BR,-1.195,-46.02,84.99,62,51,11.05,broken clouds
105,Windhoek,NA,-22.5594,17.0832,77.2,16,2,4.61,clear sky
106,Talnakh,RU,69.4865,88.3972,33.13,56,27,6.67,scattered clouds
107,Labuan,MY,5.2767,115.2417,77.16,94,40,0.0,thunderstorm with heavy rain
108,Carnarvon,AU,-24.8667,113.6333,62.67,77,75,11.5,broken clouds
109,Kavaratti,IN,10.5669,72.642,81.12,81,100,23.17,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,38.91,75,13,2.95,few clouds
111,Taltal,CL,-25.4,-70.4833,65.66,64,24,7.09,few clouds
112,Ouadda,CF,8.0777,22.4007,68.04,95,87,2.86,overcast clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,18.41,clear sky
114,Asau,RO,46.4333,26.4,61.39,86,1,3.06,clear sky
115,Katsuura,JP,35.1333,140.3,66.31,74,53,13.27,broken clouds
116,Constitucion,CL,-35.3333,-72.4167,59.27,56,62,17.16,broken clouds
117,Luanda,AO,-8.8368,13.2343,75.2,83,20,8.05,few clouds
118,Nikolskoye,RU,59.7035,30.7861,49.89,92,97,5.53,overcast clouds
119,Pafos,CY,34.7667,32.4167,75.11,60,0,2.3,clear sky
120,Gazli,UZ,40.1333,63.45,69.3,44,1,23.51,clear sky
121,Atuona,PF,-9.8,-139.0333,78.55,67,4,17.76,clear sky
122,Caravelas,BR,-17.7125,-39.2481,76.77,59,100,9.33,overcast clouds
123,Kruisfontein,ZA,-34.0033,24.7314,60.89,94,64,8.72,broken clouds
124,Dukat,RU,62.55,155.55,25.18,89,90,3.74,overcast clouds
125,Remontnoye,RU,46.5614,43.6501,57.61,72,90,18.59,overcast clouds
126,Mitsamiouli,KM,-11.3847,43.2844,76.39,75,6,6.24,clear sky
127,Kondagaon,IN,19.6,81.6667,71.78,95,100,8.1,overcast clouds
128,Hasaki,JP,35.7333,140.8333,64.8,70,4,13.94,clear sky
