City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Vayalar,IN,76.98,overcast clouds,9.7,76.3333,Vasundhara Sarovar Premiere
259,Nago,JP,82.56,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
263,Mbuji-Mayi,CD,79.66,overcast clouds,-6.15,23.6,GKT Hotel
265,Esmeraldas,BR,89.71,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
266,Havelock,US,80.02,clear sky,34.8791,-76.9013,Sherwood Motel
268,Padang,ID,76.14,overcast clouds,-0.9492,100.3543,Mercure Padang
269,Auki,SB,76.55,overcast clouds,-8.7676,160.7034,Auki Motel
271,Bac Giang,VN,75.27,broken clouds,21.2667,106.2,An Binh Hotel 2
272,Lorengau,PG,80.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
276,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
277,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
281,Cayenne,GF,89.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
282,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
284,Avera,US,83.08,clear sky,33.194,-82.5271,
295,Faranah,GN,75.33,overcast clouds,10.0404,-10.7434,Chez mon oncle
296,Alugan,PH,77.4,overcast clouds,12.2188,125.4808,JM Lodge
304,Bangkalan,ID,80.55,few clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
307,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
311,Marshall,US,81.39,scattered clouds,34.3834,-86.3333,Riverview Campground
312,Honiara,SB,76.95,light rain,-9.4333,159.95,Heritage Park Hotel
313,Hamilton,US,77.61,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
320,Paragominas,BR,86.58,overcast clouds,-2.9667,-47.4833,INOVA
325,Katy,US,88.72,overcast clouds,29.7858,-95.8244,Hilton Garden Inn Houston West Katy
331,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
332,Sao Jose Do Rio Pardo,BR,81.16,overcast clouds,-21.5956,-46.8886,Hotel Paulista
335,Samarai,PG,79.02,few clouds,-10.6167,150.6667,Nuli Sapi
336,Guerrero Negro,MX,75.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
337,Omboue,GA,76.82,overcast clouds,-1.5746,9.2618,Hotel Olako
344,Nushki,PK,79.11,clear sky,29.5542,66.0215,Shams hotel
345,Tutoia,BR,85.98,few clouds,-2.7619,-42.2744,Pousada Guará's
346,Kavieng,PG,81.25,light rain,-2.5744,150.7967,Nusa Island Retreat
347,Mayumba,GA,75.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
349,Song Phi Nong,TH,78.33,overcast clouds,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
350,Wiang Sa,TH,79.68,light rain,8.6359,99.3666,ชำนาญอินน์
351,Dingle,PH,75.78,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
356,Comarapa,BO,76.46,clear sky,-17.9,-64.4833,
357,Dickson,US,79.74,clear sky,36.077,-87.3878,East Hills Bed & Breakfast Inn
358,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
363,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
366,La Romana,DO,89.96,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
368,Biak,ID,75.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
370,Pandan,PH,79.99,overcast clouds,14.0453,124.1694,Bonifacio Lodge
372,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
380,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
381,Keti Bandar,PK,82.99,overcast clouds,24.1447,67.4497,Haji laloo memon house
386,Mecca,SA,88.0,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
392,Kuah,MY,76.98,few clouds,6.3265,99.8432,Azio Hotel
394,Chihuahua,MX,78.19,scattered clouds,28.5,-106.0,
397,Varzelandia,BR,89.38,broken clouds,-15.7014,-44.0275,Pousada Portal da Cidade
400,Russell,US,82.06,clear sky,32.3502,-85.1999,Macs
404,Port Said,EG,78.78,scattered clouds,31.2565,32.2841,Aracan Hotel
410,Nalut,LY,86.5,overcast clouds,30.3333,10.85,
417,Dicabisagan,PH,78.96,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Jawhar,SO,76.75,clear sky,2.7809,45.5005,hantiwadaag village part one
423,Letlhakane,BW,77.2,clear sky,-21.4167,25.5833,Motswedi Hotel P650
424,Banda Aceh,ID,78.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
428,Grants Pass,US,80.58,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
429,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
